index,date,freq,acu_interval,settle,acu_settle,error_mean,error_variance,variance
440303_045059,2018-03-08,32.0,32.0,0.996517524527,0.996517524527,0.8061568169907467,0.3787477094140254,0.6177698151129746
440303_045059,2018-03-24,16.0,48.0,0.539415167233,1.53593269176,1.2345446972473668,0.7217892688044382,0.8141434229555619
440303_045059,2018-04-09,16.0,64.0,0.43957275666,1.97550544842,1.50994127868825,1.0508007972549709,0.9247046511650296
440303_045059,2018-04-25,16.0,80.0,0.34110302514,2.31660847356,1.5944858066914034,1.309775526033246,1.006832947526754
440303_045059,2018-05-11,16.0,96.0,0.2036202191999998,2.52022869276,1.53833138425202,1.4176512730347357,1.1025774197252645
440303_045059,2018-06-12,32.0,128.0,-1.916547617784,0.603681074976,1.025317137464257,-0.6656908785940643,1.2693719535700645
440303_045059,2018-07-11,29.0,157.0,-6.576527560865999,-5.97284648589,0.0706555154703343,-7.5587625424191645,1.5859160565291643
440303_045059,2018-08-31,51.0,208.0,-6.05535836071,-12.0282048466,1.0683302162586656,-13.770650482166255,1.7424456355662554
440303_045059,2018-09-13,13.0,221.0,1.208250400699999,-10.8199544459,1.4202367708196668,-12.541882410933258,1.7219279650332573
440303_045059,2018-10-02,19.0,240.0,2.190675274070001,-8.62927917183,1.7308752540960004,-10.263990311663868,1.6347111398338692
440303_045059,2018-10-18,16.0,256.0,1.7252067729099991,-6.90407239892,1.727456829561001,-8.424318337632325,1.5202459387123255
440303_045059,2018-11-03,16.0,272.0,1.4361420040700006,-5.46793039485,1.486335346609997,-6.864687021298115,1.3967566264481155
440303_045059,2018-11-19,16.0,288.0,1.21537840527,-4.25255198958,1.082866764964666,-5.546955876215272,1.2944038866352725
440303_045059,2018-12-01,12.0,300.0,0.7801872222199995,-3.47236476736,0.6988702707673333,-4.705612791980992,1.233248024620992
440303_045059,2019-01-06,36.0,336.0,0.5864153922700002,-2.88594937509,-0.1983714038277337,-4.002093956317317,1.1161445812273174
440303_045059,2019-02-07,32.0,368.0,-1.1215495453799995,-4.00749892047,0.1184446412703339,-5.139279748604902,1.1317808281349022
440303_045059,2019-02-19,12.0,380.0,-0.1309974797600004,-4.13849640023,-0.0588609863116662,-5.265545583373519,1.1270491831435183
440303_045059,2019-03-11,20.0,400.0,0.38981409276,-3.74868230747,-1.091123544770466,-4.995597388014045,1.2469150805440448
440303_045059,2019-03-27,16.0,416.0,1.00790902995,-2.74077327752,-2.3966187576209967,-4.542372157039853,1.8015988795198532
440303_045059,2019-04-25,29.0,445.0,2.8441686449200003,0.1033953674,-3.62495818289679,-2.694474943623545,2.797870311023545
440303_045059,2019-04-28,3.0,448.0,0.302843508696,0.406238876096,-3.5580448030067666,-2.406730520472324,2.812969396568324
440303_045059,2019-05-10,12.0,460.0,1.191235925494,1.59747480159,-2.9033151083393003,-1.09012652967372,2.68760133126372
440303_045059,2019-06-10,31.0,491.0,3.32240660347,4.91988140506,0.0688828940071344,2.959329965337357,1.9605514397226431
440303_045059,2019-06-26,16.0,507.0,1.7634661978099997,6.68334760287,0.8938043471488273,4.852206056626206,1.831141546243794
440303_045059,2019-07-12,16.0,523.0,1.3016938642000009,7.98504146707,1.049878045170335,6.234874562946375,1.7501669041236252
440303_045059,2019-08-14,33.0,556.0,0.4827399643500003,8.46778143142,0.8432537111519993,6.6395082198923046,1.828273211527696
440303_045059,2019-08-29,15.0,571.0,-0.1440530148400007,8.32372841658,0.8031219024476641,6.326099418926438,1.9976289976535624
440303_045059,2019-09-27,29.0,600.0,-0.17452450671,8.14920390987,0.7293200009953322,5.756761048146054,2.392442861723945
440303_045059,2019-10-09,12.0,612.0,-0.4585675015300001,7.69063640834,0.5873443526380004,5.164766627708797,2.525869780631202
440303_045059,2019-11-17,39.0,651.0,-5.461811764189999,2.22882464415,-0.0945926969100963,-0.2757194540474881,2.504544098197488
440303_045059,2019-12-03,16.0,667.0,-2.82868823735,-0.5998635932,-0.1221715289839133,-2.8536475607617167,2.253783967561717
440303_045059,2020-01-13,41.0,708.0,-5.53949325541,-6.13935684861,-0.4985974670486675,-7.617336074331514,1.477979225721514
440303_045059,2020-02-05,23.0,731.0,-1.0981984336399997,-7.23755528225,-1.0318104084813342,-8.569678327777416,1.3321230455274151
440303_045059,2020-02-21,16.0,747.0,0.07214319806,-7.16541208419,-1.2239700244963316,-8.47628285214095,1.3108707679509497
440303_045059,2020-03-24,32.0,779.0,2.90016514242,-4.26524694177,-0.9394016886316336,-5.652414661899515,1.3871677201295145
440303_045059,2020-04-09,16.0,795.0,2.7134582814800003,-1.55178866029,-0.4791909883497864,-2.99319200444162,1.4414033441516196
440303_045059,2020-05-11,32.0,827.0,6.82615197316,5.27436331287,0.7390546258326678,3.5997678068570576,1.674595506012943
440303_045059,2020-06-12,32.0,859.0,1.87274071541,7.14710402828,1.2961607659156664,5.25323134635538,1.89387268192462
440303_045059,2020-07-14,32.0,891.0,-4.378150535870001,2.76895349241,1.1704566744160998,0.8504353024690621,1.918518189940938
440303_045059,2020-07-30,16.0,907.0,-0.6995149040199999,2.06943858839,0.8941636375127102,0.0909695060870636,1.9784690823029365
440303_045059,2020-08-15,16.0,923.0,1.27742249274,3.34686108113,0.5969851806919007,1.2652556793954477,2.0816054017345524
440303_045059,2020-09-16,32.0,955.0,3.65016724503,6.99702832616,0.7971623699646662,4.86630672442275,2.1307216017372497
440303_045059,2020-10-11,25.0,980.0,-2.30488316679,4.69214515937,1.3118880675910112,2.642279512957544,2.0498656464124565
440303_045059,2020-10-18,7.0,987.0,-1.1955014470299998,3.49664371234,1.3515145956643333,1.4611329630456376,2.0355107492943625
440303_045059,2020-11-03,16.0,1003.0,-3.029933662407,0.466710049933,1.227020948112633,-1.53830532936324,2.00501537929624
440303_045059,2020-11-19,16.0,1019.0,-3.085927474943,-2.61921742501,0.8672432946101667,-4.598848233053642,1.979630808043642
440303_045059,2020-12-05,16.0,1035.0,-2.72469573686,-5.34391316187,0.4027304515580008,-7.31467728797537,1.9707641261053708
440303_045059,2020-12-21,16.0,1051.0,-1.96267624644,-7.30658940831,-0.0490899834323332,-9.28787514888251,1.9812857405725104
440303_045059,2021-01-06,16.0,1067.0,-0.9063560173299994,-8.21294542564,-0.4454042595136656,-10.218810497752294,2.005865072112295
440303_045059,2021-02-08,33.0,1100.0,1.408227286269999,-6.80471813937,-1.1198987160486684,-8.868035230143663,2.063317090773663
440303_045059,2021-02-23,15.0,1115.0,1.2299043345700005,-5.5748138048,-1.3919182111881998,-7.660869037074548,2.0860552322745485
440303_045059,2021-03-11,16.0,1131.0,1.1044419599,-4.4703718449,-1.7182448581121998,-6.615636749617618,2.1452649047176178
440303_045059,2021-04-12,32.0,1163.0,0.1880415545399998,-4.28233029036,-2.5213196884216336,-6.877692027416922,2.595361737056922
440303_045059,2021-04-28,16.0,1179.0,-0.8549071665000003,-5.13723745686,-2.8656269962453003,-8.060378318994417,2.923140862134416
440303_045060,2018-03-08,32.0,32.0,0.485376447611,0.485376447611,0.2950157400747466,-0.1323933675019745,0.6177698151129746
440303_045060,2018-03-24,16.0,48.0,0.3421086574629999,0.827485105074,0.5260971105613668,0.0133416821184381,0.8141434229555619
440303_045060,2018-04-09,16.0,64.0,0.4767098128060001,1.30419491788,0.83863074814825,0.3794902667149705,0.9247046511650296
440303_045060,2018-04-25,16.0,80.0,0.68193621639,1.98613113427,1.2640084674014034,0.979298186743246,1.006832947526754
440303_045060,2018-05-11,16.0,96.0,0.77358240862,2.75971354289,1.77781623438202,1.6571361231647357,1.1025774197252645
440303_045060,2018-06-12,32.0,128.0,-0.8278523218100002,1.93186122108,2.353497283568257,0.6624892675099356,1.2693719535700645
440303_045060,2018-07-11,29.0,157.0,-6.2429574611900005,-4.31109624011,1.732405761250334,-5.897012296639165,1.5859160565291643
440303_045060,2018-08-31,51.0,208.0,-7.376537830689999,-11.6876340708,1.4089009920586657,-13.430079706366255,1.7424456355662554
440303_045060,2018-09-13,13.0,221.0,0.9748926982999996,-10.7127413725,1.5274498442196671,-12.434669337533258,1.7219279650332573
440303_045060,2018-10-02,19.0,240.0,1.94639753445,-8.76634383805,1.5938105878759998,-10.40105497788387,1.6347111398338692
440303_045060,2018-10-18,16.0,256.0,1.6380103138499995,-7.1283335242,1.5031957042810014,-8.648579462912327,1.5202459387123255
440303_045060,2018-11-03,16.0,272.0,1.48604177111,-5.64229175309,1.3119739883699966,-7.039048379538116,1.3967566264481155
440303_045060,2018-11-19,16.0,288.0,1.3606828575600003,-4.28160889553,1.0538098590146658,-5.576012782165272,1.2944038866352725
440303_045060,2018-12-01,12.0,300.0,0.89819597861,-3.38341291692,0.7878221212073337,-4.616660941540992,1.233248024620992
440303_045060,2019-01-06,36.0,336.0,0.5061811626499999,-2.87723175427,-0.1896537830077336,-3.9933763354973175,1.1161445812273174
440303_045060,2019-02-07,32.0,368.0,-1.3443310063400005,-4.22156276061,-0.0956191988696666,-5.353343588744902,1.1317808281349022
440303_045060,2019-02-19,12.0,380.0,-0.0632658497499996,-4.28482861036,-0.205193196441666,-5.411877793503519,1.1270491831435183
440303_045060,2019-03-11,20.0,400.0,0.58974741848,-3.69508119188,-1.037522429180466,-4.941996272424045,1.2469150805440448
440303_045060,2019-03-27,16.0,416.0,1.16728030801,-2.52780088387,-2.1836463639709964,-4.329399763389853,1.8015988795198532
440303_045060,2019-04-25,29.0,445.0,3.035295758986,0.507494875116,-3.22085867518079,-2.290375435907545,2.797870311023545
440303_045060,2019-04-28,3.0,448.0,0.31064789078,0.818142765896,-3.1461409132067666,-1.994826630672324,2.812969396568324
